"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"わっかいち","24","毎年秋に宮代オートキャンプ場で開催されるイベントです。<br>地元産品やアート作品の販売、紙すきや手作り体験もあります。<br>ゆっくりと時間が流れる龍神で、おいしいものを食べながら癒しのひとときを過ごしてみませんか。(2010.12.3)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/24.jpg","","","135.501466000057","33.9146239998754","きのくに風景讃歌"
"道の駅 龍神","25","和歌山県中央部の山深い里、龍神村から霊峰高野山へつながる「高野龍神スカイライン」の起点にあり、清流・日高川がそばを流れています。道路の向かい側に大きな「龍神」のレリーフがあります。<br>おみやげコーナー、レストランがあります。(2010.12.3)","< 時間 > 9：00～17：00（７月～10月は延長あり）<BR>※ トイレ・駐車場・公衆電話は24時間利用できます。<BR>< 定休日 > ４月～１１月無休、12月～３月毎週水曜日、12月29日～１月１日<BR>< 駐車場 > あり(無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/25.jpg","","","135.564508000001","33.9655370000227","きのくに風景讃歌"
"皆瀬神社（かいぜじんじゃ）","26","長禄二年(1458年）この地の豪族龍神正直氏（龍神氏10代）が勧請し、文明年間(1469～1486年）に龍神正氏（龍神氏11代）が社殿を造営しました。<br>大正13年(1924年）社殿の大改築が行われた際、名大工たちが龍神材を用いて腕を振るった春日造りの神殿は、厳かな空気の中に佇んでいます。巨木に囲まれた境内は、最近パワースポットとしても人気を集めています。(2010.12.3)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/26.jpg","","","135.564423000024","33.9666050000247","きのくに風景讃歌"
"高野龍神スカイライン","27","伊都郡高野町の奥の院交差点を起点とし、田辺市龍神村を終点として1980年に一般有料道路として開通。2003年に無料開放されました。<br>和歌山県と奈良県にまたがる標高1000ｍ級の尾根に沿って走るので、ここは和歌山県、ここは奈良県と、県境を行ったり来たりします。<br>冬期には積雪、凍結もありますが、霧氷が目を楽しませてくれることもあります。(2010.12.3)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/27.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/27_1.jpg","","135.558414000033","34.0634679998079","きのくに風景讃歌"
"ごまさんスカイタワー","28","高野龍神スカイラインの中間点にある高さ33ｍの塔で、護摩木を積み上げたような外観をしています。<br>展望塔（有料）からは、連なる山々、紀伊水道の島字島が望めます。お天気のいい日には、四国まで望めます。(2010.12.3)","< 料金 > 小学生以上 300円<BR>< 時間 > 平日　9：30～17：00<BR>土日祝　9：00～17：00<BR>レストラン　9：45～15：30<BR>展望塔　9：00～16：50<BR>< 定休日 > ４月～11月無休、12月～３月冬期休業<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/28.jpg","","","135.564165000033","34.0609079998518","きのくに風景讃歌"
"恋小袖の滝","29","高野龍神スカイラインで高野町奥之院から南下してごまさんスカイタワーを過ぎた左手にあります。<br>平維盛が田辺市龍神村に逃げ延びてきたとき、地元の女性と恋に落ちた物語を題材にした「恋小袖お万ヶ淵」という長唄があり、その中で維盛の死を悲しむお万の姿を滝を渡るホトトギスに例えています。（2010.12.3）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/29.jpg","","","135.577210999986","34.020795","きのくに風景讃歌"
"天野の里","30","高野山のふもと標高450mに位置する盆地です。高野山は山上にある町として、初めて訪れた人には驚きですが、ここ天野の里も同様です。笠田から南へ国道480号の険しい山道を抜け、天野トンネルを抜けたとたんに広がる美しい田園風景は驚嘆に値します。「かくれ里」とか「桃源郷」という言葉がぴったりです。かつて高野へお参りする人が高野町石道を通り、途中の二つ鳥居から、天野の丹生都比売神社にお参りしてから、高野の地へ入ったと伝えられています。そのため、数々の伝承や史跡が残されています。2009年には「日本の里100選」に選定されました。(2010.12.06)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/30.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/30_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/30_2.jpg","135.518416999954","34.2592029999083","きのくに風景讃歌"
"かわべ天文公園","31","かわべ天文公園は、天文台、プラネタリウムと宿泊施設もある充実した施設です。<br>観星塔にある口径100cmの反射望遠鏡では、遥かかなたの天体を観ることができます。園内には芝生やスリル満点の全長85ｍの滑り台、リスと触れあえるリス園などがあり大人も子どもも楽しめ、癒される施設となっています。<br>観望会は金・土・日・祝日の19：00～21：00、プラネタリウム投影は土・日・祝日13：00、15：00、17：00です。(2010.12.6)<br><br>","< 料金 > 観望会：大人300円、高校生以下200円、幼児無料<BR>プラネタリウム：大人500円、中学生以下300円、３歳以下無料<BR>< 時間 > 9：00～21：00<BR>< 定休日 > 毎週月曜日、年末年始<BR>プラネタリウム番組入れ替えなどによる臨時休園あり<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/31.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/31_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/31_2.jpg","135.216152999949","33.8945829999161","きのくに風景讃歌"
"串柿の里","32","かつらぎ町山間部、大阪との県境に位置する四郷地区は、広口・滝・東谷・平の４つの村の総称です。この地域は正月のお飾りに使用する串柿の産地としてよく知られており、その歴史は長く400年にも及びます。10月下旬から11月末頃まで、山の中腹にある家々の軒先には玉すだれのように串柿が吊され、訪れる人々の目を楽しませてくれます。<br>例年11月末に開催される「四郷串柿まつり」は20回を超えるまでになりました。(2010.12.06)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/32.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/32_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/32_2.jpg","135.477218999999","34.32401599994","きのくに風景讃歌"
"道の駅「紀の川万葉の里」・紀の川万葉の里公園","33","かつらぎ町、紀ノ川北岸を通る国道24号の道の駅です。すぐ南側をゆったりと紀ノ川が流れ、西方には船岡山と万葉集に15首も詠われた「妹山」「背山」が望まれる、まさしく万葉の里とよぶにふさわしい景勝の地です。<br>85台(大型車14台/普通車71台)の駐車設備と物産品展示販売室・レストラン・観光案内のパンフレットの設置スペース等があります。(2010.12.06)","< 時間 > 物産販売所　<BR>8：30～18:00（３月～10月）<BR>8：30～17：00（11月～２月）<BR>情報提供施設　<BR>8：30～17:00<BR>※ トイレ・駐車場・公衆電話は24時間利用できます。<BR>< 定休日 > なし<BR>< 駐車場 > あり(無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/33.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/33_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/33_2.jpg","135.464526000056","34.2845149999034","きのくに風景讃歌"
"かわべテニス公園","34","かわべテニス公園は20面のコートを持ち、宿泊施設やレストラン、研修室も完備しています。<br>豊かな自然に囲まれていて、澄んだ空気の中で楽しむテニスは格別です。<br>バーベキュー施設もあり、大人から子どもまで楽しめます。(2010.12.6)","< 料金 > コート使用料、用具レンタル料等<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/34.jpg","","","135.213535999962","33.8957879998685","きのくに風景讃歌"
"道の駅 SanPin中津","35","道の駅 SanPin中津には、豊かな自然がもたらす山の幸、川の幸などを販売している中津ふるさと産品展示販売所があります。中でも日高川町特産の「ホロホロ鳥」は、フランス料理等で高級食材として使われる珍しい鳥です。ホロホロ鳥肉やイノシシ肉、シカ肉の冷凍パックが人気です。<br>道の駅敷地内にあるホロホロ亭では、ホロホロ鳥を使ったラーメンなどを使った料理を食べることができます。（2010.12.6）","< 時間 > 中津産品展示販売所：４月～９月　8：00～18：30<BR>10月・３月　8：00～18：00<BR>11月～２月　8：00～17：30<BR>ほろほろ亭　9：00～17：00<BR>※ トイレ・駐車場・公衆電話は24時間利用できます。<BR>< 定休日 > 中津産品展示販売所：12月31日の12：00以降～１月２日午前中まで<BR>ほろほろ亭：年末年始　<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/35.jpg","","","135.263326999979","33.9501119998367","きのくに風景讃歌"
"丹生官省符神社","36","816年空海(弘法大師)により創建されました。京都の東寺を出て真言密教の修行の地を探し求めてていた空海は、猟師の仮の姿をした神(狩場明神)と運命的な出会いにより高野山へと導かれました「丹生官省符神社」は、のちに空海が高野山を開き、慈尊院を創建した時に、狩場明神をお祭りする社として、慈尊院から高野への参道途中に「丹生高野明神社」として創建されたものです。<br>室町時代に建てられた本殿は、国の重要文化財に指定され、平成16年7月に世界遺産に登録されました。<br>拝殿の両脇には縦2.5m横3.8mのジャンボ絵馬が飾られています。右にはその年の干支を描いた絵馬、左には、狩場明神と空海との出会いの伝承を描いた絵馬が飾られています。<br>かつての神仏習合の歴史を語るように、慈尊院の境内からは丹生官省符神社に登る長い階段があり、この階段の途中から高野山町石道が枝分かれをしており、最終の180町石が階高のすぐ脇に立っています。<br>(2010.12.06)","< 料金 > 拝観無料","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/36.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/36_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/36_2.jpg","135.549424000055","34.2944789999199","きのくに風景讃歌"
"椿山ダム","37","椿山（つばやま）ダムは「ダム湖百選」に選ばれた、赤色のゲートが目立つダムです。<br>日高川の洪水調節、灌漑用水の補給、発電等を目的に建設された椿山ダム湖周辺は豊かな山々に囲まれ、美しい風景をダムと共に見ることができます。（2010.12.6）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/37.jpg","","","135.389973999964","33.9586409999397","きのくに風景讃歌"
"椿山レイクブリッジ","38","椿山レイクブリッジは椿山ダム湖にかかる赤色が映える大きな吊り橋です。<br>入口には色鮮やかな鯉のプレートが飾られており、橋を渡ると吊り橋ならではの揺れと真下が見える恐怖はスリル満点で、山彦（やまびこ）が楽しめる公園につながっています。（2010.12.6）","< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/38.jpg","","","135.389973999964","33.9586409999397","きのくに風景讃歌"
"善名称院(真田庵)","39","善名称院真田庵は、元は関ヶ原の合戦の後、真田昌幸・幸村父子が隠棲した屋敷跡ですが、1741年に大安上人により、真田公を地主権現としてお祭りするために創建されました。現在和歌山県の史跡として指定されています。本尊は「延命子安地蔵菩薩」です。境内には真田昌幸の墓があり、昌幸・幸村・大助の三代の御霊を地主大権現として祭られています。また、資料館には真田家に関する資料が展示されています。真田の家紋(旗印)としては六文銭が有名ですが、この寺の門には真田の家紋の六文銭が造られています(2010.12.06)","< 料金 > 拝観無料 (資料館は200円)<BR>< 駐車場 > あり(無料)<BR>< 連絡先 > 0736-54-2019（九度山町産業振興課・観光協会)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/39.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/39_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/39_2.jpg","135.559710000034","34.2907759998475","きのくに風景讃歌"
"根来寺","40","新義真言宗の総本山根来寺は、覚鑁(かくばん)上人(興教大師)が開祖とされます。<br>覚鑁上人は、最初高野山に登って真言宗の奥義を究め、大伝法院を創建し高野山を復興し、真言宗中興の祖として仰がれています。<br>高野山の衆徒との間に不和を生じて1140年に根来へ移りました。根来は門弟たちにより大きく発展し、真言宗の一大仏都として栄えました。<br>1585年の秀吉の根来攻めにより、大塔・大師堂以外のすべての寺院は焼失あるいは解体されます。その後江戸時代になって徳川氏の保護のもと、復興されました。<br>主な文化財としては、国宝の大塔、重要文化財の大師堂、庭園(３庭園)が国の名勝に、境内の一部が国指定史跡となりました。(2010.12.06)","< 料金 > 大人(中学生以上)500円<BR>< 時間 > ４月～10月　9:10～16:30<BR>11月～３月　9:10～16:00<BR>< 定休日 > 10月下旬は法要により、一部拝観ができないことがあります。要問い合わせ<BR>< 駐車場 > あり(無料)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/40.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/40_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/40_2.jpg","135.316586000002","34.287643999927","きのくに風景讃歌"
"稲むらの火の館","41","安政の大地震（安政元年（1854年））で稲束を重ねた稲むらに火をつけ目印にすることにより、津波から避難する住民を安全な高台に導いた「稲むらの火」で知られている濱口梧陵は広川町で生まれました。<br>この稲むらの火の館には、濱口梧陵記念館と津波防災教育センターがあります。濱口梧陵記念館では梧陵の偉大な功績や生涯を知ることができ、津波防災教育センターでは津波の恐ろしさを体感し身を守る方法を学ぶことができます。（2010.12.6）","< 料金 > 一般500円 、高校生200円 、小・中学生100円<BR>< 時間 > 10：00～17：00（入館時間は16：00まで）<BR>< 定休日 > 月曜日、火曜日（祝日の場合は開館）、年末年始（12/29～1/4）<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/41.jpg","","","135.170267000041","34.024822999895","きのくに風景讃歌"
"広八幡神社","42","広八幡神社は国指定重要文化財に指定されている楼門や本殿の朱色が鮮やかで、樹齢数百年の檜が立ち並ぶ美しい神社です。<br>楼門をぬけると、国選択芸能の指定を受けている「しっぱら踊り」と呼ばれる田楽が奉納される舞殿があります。<br>この神社は、安政の大地震の際、濱口梧陵が「稲むらの火」によって住民を誘導した高台の避難場所として知られています。人々に愛され、信仰されている壮麗な神社です。（2010.12.6）","< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/42.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/42_1.jpg","","135.175298000055","34.0176829998851","きのくに風景讃歌"
"青洲の里","43","有吉佐和子の小説「華岡青洲の妻」で一躍全国的にその名前が知れ渡った華岡青洲。その生涯は世界で初めての麻酔薬の開発に費やされました。<br>ここは青洲の偉大な功績を広く紹介し、後世に伝えていくための顕彰施設で、「春林軒(しゅんりんけん)」と「フラワーヒルミュージアム」が復元、建設されました。<br>「春林軒」は、青洲の住居と診療所と門下生に医術を教える医学校を兼ねた施設で、多くの患者の命を救い、1000人を超える門下生を育てました。現在の主屋と蔵は当時のもので、その他は復元されたものです。「フラワーヒルミュージアム」は、建築家黒川紀章による設計で、展示室、ホール、レストラン等があり、特に展示室には青洲や門下生が使用した外科医術の資料が展示されています。（2010.12.06)","< 料金 > 春林軒・展示室　一般600円<BR>小人（中学生以下）300円<BR>< 時間 > 10:00～17:00 (入館は16:30まで)<BR>(11月～２月は10:00～16:00)<BR>< 定休日 > 火曜日(祝日の場合は翌日)<BR>< 駐車場 > あり(無料)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/43.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/43_1.jpg","","135.441422000009","34.2803439998832","きのくに風景讃歌"
"西広海岸","45","西広海岸は遠浅になっているため、安心して海水浴や海遊びを楽しむことができる海岸です。<br>干潮時には広大な砂浜が現れ、カニなど海辺の生物を見つけて楽しむことができます。<br>また海岸から望む夕日は美しく、人気スポットとなっています。(2010.12.6)","< 料金 > 海水浴施設：シャワー200円、コインロッカー300円<BR>< 時間 > 　海水浴施設：9：00～17：00（７月第１日曜日～８月31日）<BR>< 駐車場 > あり(有料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/45.jpg","","","135.151576999988","34.0076329999145","きのくに風景讃歌"
"広川ダム","46","昭和28年（1953年）7月18日、集中豪雨により和歌山県内に甚大な被害を出した紀州大水害が発生しました。この時、広川の下流も壊滅的な被害を受け、洪水調整を目的とした広川ダムが建設されました。昭和50年（1975年）に完成し、渇水時には不特定用水の補給を行える治水ダムとして重要な役割を担っています。<br>桜の季節には咲き乱れる桜とダムの景色が美しく、人気の花見スポットとなっています。(2010.12.6)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/46.jpg","","","135.233336999953","33.9736649999236","きのくに風景讃歌"
"大門","47","大門は高野山の西の端に位置しています。最初は鳥居の形式で、現在の位置より数百ｍ下にありました。何回かの焼失の後、1705年に現在の位置に、金剛峯寺の正門に相応しい二階二層建ての大規模な門に再建されました。<br>高さは25.1ｍ、左右の仁王(金剛力士像)は運慶作です。国の重要文化財に指定され、世界遺産にも登録されています。(2010.12.06)<br>","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/47.jpg","","","135.572791000022","34.2133809998996","きのくに風景讃歌"
"壇上伽藍","48","高野山へ登った弘法大師は、816年から真言密教の世界を具現化し、同時に修行の道場として、伽藍の建設を開始しました。その完成は弘法大師の死後、建設開始から70～80年の後のことでした。完成時には、南北の中心線上に金堂と中門(現在はありません)が並び、その後方に東西に並んで、東には伽藍中心の根本大塔(胎蔵界を表現)と西塔(金剛界を表現)を配置する独特のものでした。その後、金堂と根本大塔は何度も落雷や火災により焼失を繰り返し、1932年に金堂、1937年に根本大塔,1983年に東塔が再建されて今日の姿となっています。<br>境内には、西行法師ゆかりの三昧堂や弘法大師が唐の国から投げた三鈷が枝に引っ掛かったと伝えられる三鈷の松などがあります。また、819年の創建当時に勧請された丹生都比売明神をお祀りする山王院本殿は、高野山の神仏習合の歴史を物語っています。<br>伽藍地区全体が国の史跡に指定されています。14世紀に再建された不動堂は国宝に、山王院本殿は重要文化財に指定されています。(2010.12.06)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/48.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/48_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/48_2.jpg","135.579925999959","34.2131859999488","きのくに風景讃歌"
